X,Y,OBJECTID,ID,MONTH,CRIME_CATEGORY,LOCATION_TYPE,LOCATION_SUBTYPE,LONGITUDE,LATITUDE,STREET_ID,STREET_NAME,OUTCOME_CATEGORY,OUTCOME_DATE
359586.0966,174000.1611,1,126954560,2025-03,anti-social-behaviou,Force,,-2.583139,51.463520,2279425,On or near Burnell Drive,Null,Null
358431.1038,173048.141000001,2,126955040,2025-03,anti-social-behaviou,Force,,-2.599652,51.454876,2278382,On or near Parking Area,Null,Null
358779.0947,172980.2359,3,126954626,2025-03,anti-social-behaviou,Force,,-2.594636,51.454291,2278706,On or near Corn Street,Null,Null
357687.1347,168121.18,4,126954455,2025-03,anti-social-behaviou,Force,,-2.609768,51.410522,2277694,On or near Smithmead,Null,Null
359461.096,173902.1766,5,126954417,2025-03,anti-social-behaviou,Force,,-2.584927,51.462630,2279332,On or near Little Bishop Street,Null,Null
356932.1852,179135.1469,6,126954616,2025-03,anti-social-behaviou,Force,,-2.621968,51.509492,2276922,On or near Parking Area,Null,Null
360089.0533,170331.1325,7,126954246,2025-03,anti-social-behaviou,Force,,-2.575484,51.430567,2279945,On or near Paignton Square,Null,Null
359689.1239,173176.107899999,8,126954251,2025-03,anti-social-behaviou,Force,,-2.581562,51.456118,2279544,On or near Old Market Street,Null,Null
360100.0784,173693.1292,9,126954252,2025-03,anti-social-behaviou,Force,,-2.575706,51.460796,2279972,On or near Milsom Street,Null,Null
358000.1627,173116.2005,10,126954255,2025-03,anti-social-behaviou,Force,,-2.605862,51.455456,2277940,On or near Berkeley Square,Null,Null
358953.1382,173244.188300001,11,126954256,2025-03,anti-social-behaviou,Force,,-2.592162,51.456677,2278864,On or near Nightclub,Null,Null
357672.1754,174259.134400001,12,126954794,2025-03,anti-social-behaviou,Force,,-2.610720,51.465708,2277641,On or near Oakland Road,Null,Null
352100.3115,178370.183599999,13,126955919,2025-03,anti-social-behaviou,Force,,-2.691484,51.502224,2274611,On or near M5,Null,Null
363087.035,176129.197699999,14,126954270,2025-03,anti-social-behaviou,Force,,-2.532969,51.482902,2282502,On or near Homefield Drive,Null,Null
358975.149,169945.154899999,15,126954276,2025-03,anti-social-behaviou,Force,,-2.591462,51.427017,2278938,On or near Wexford Road,Null,Null
358782.0947,173264.1501,16,126955446,2025-03,anti-social-behaviou,Force,,-2.594626,51.456844,2278704,On or near Rupert Street,Null,Null
358000.1627,173116.2005,17,126954277,2025-03,anti-social-behaviou,Force,,-2.605862,51.455456,2277940,On or near Berkeley Square,Null,Null
363258.0823,175919.1962,18,126954280,2025-03,anti-social-behaviou,Force,,-2.530484,51.481025,2282610,On or near Guinea Lane,Null,Null
361443.0457,173786.189099999,19,126954282,2025-03,anti-social-behaviou,Force,,-2.556386,51.461726,2281131,On or near B4465,Null,Null
361536.0156,175061.193700001,20,126955427,2025-03,anti-social-behaviou,Force,,-2.555187,51.473196,2281184,On or near Gloucester Street,Null,Null
360171.1176,174389.1272,21,126955398,2025-03,anti-social-behaviou,Force,,-2.574762,51.467059,2280036,On or near Rosebery Court,Null,Null
360100.0784,173693.1292,22,126954286,2025-03,anti-social-behaviou,Force,,-2.575706,51.460796,2279972,On or near Milsom Street,Null,Null
352745.1935,176300.196699999,23,126955382,2025-03,anti-social-behaviou,Force,,-2.681915,51.483668,2274837,On or near Cottonwick Close,Null,Null
358000.1627,173116.2005,24,126955369,2025-03,anti-social-behaviou,Force,,-2.605862,51.455456,2277940,On or near Berkeley Square,Null,Null
358770.1451,172879.2119,25,126954291,2025-03,anti-social-behaviou,Force,,-2.594753,51.453382,2278694,On or near Baldwin Street,Null,Null
359076.1736,171867.203199999,26,126955731,2025-03,anti-social-behaviou,Force,,-2.590232,51.444305,2278950,On or near William Street,Null,Null
357357.1738,168250.178400001,27,126955368,2025-03,anti-social-behaviou,Force,,-2.614528,51.411657,2277369,On or near Gatehouse Close,Null,Null
360704.0502,176304.134400001,28,126954292,2025-03,anti-social-behaviou,Force,,-2.567304,51.484314,2280304,On or near Orpen Gardens,Null,Null
361237.0005,168929.262,29,126954293,2025-03,anti-social-behaviou,Force,,-2.558818,51.418042,2280936,On or near Eva Turner Close,Null,Null
358656.132,176449.105599999,30,126954302,2025-03,anti-social-behaviou,Force,,-2.596813,51.485471,2278511,On or near Lansdown Terrace,Null,Null
359843.0263,169878.1742,31,126954303,2025-03,anti-social-behaviou,Force,,-2.578971,51.426477,2279697,On or near Ilminster Avenue,Null,Null
362704.086,175153.1512,32,126955367,2025-03,anti-social-behaviou,Force,,-2.538380,51.474101,2282251,On or near Halstock Avenue,Null,Null
358383.0616,167213.209000001,33,126954311,2025-03,anti-social-behaviou,Force,,-2.599655,51.402410,2278379,On or near Aldwick Avenue,Null,Null
357399.1507,171919.285399999,34,126955711,2025-03,anti-social-behaviou,Force,,-2.614367,51.444649,2277440,On or near Peter Street,Null,Null
358326.1348,172500.254799999,35,126954343,2025-03,anti-social-behaviou,Force,,-2.601098,51.449942,2278246,On or near Explore Lane,Null,Null
356655.8049,178587.7247,36,126954345,2025-03,anti-social-behaviou,Force,,-2.625883,51.504549,2276705,On or near Sports/recreation Area,Null,Null
358671.0974,172833.1961,37,126954351,2025-03,anti-social-behaviou,Force,,-2.596173,51.452961,2278626,On or near Marsh Street,Null,Null
362005.0708,170853.231899999,38,126955366,2025-03,anti-social-behaviou,Force,,-2.547981,51.435393,2281655,On or near Brookside Road,Null,Null
360106.0825,170103.1075,39,126955361,2025-03,anti-social-behaviou,Force,,-2.575213,51.428518,2279884,On or near Salcombe Road,Null,Null
358931.003,168720.1986,40,126954356,2025-03,anti-social-behaviou,Force,,-2.591953,51.416000,2278659,On or near Hengrove Way,Null,Null
357937.1544,173268.2015,41,126954358,2025-03,anti-social-behaviou,Force,,-2.606787,51.456818,2277912,On or near Supermarket,Null,Null
359471.1341,173418.1884,42,126954369,2025-03,anti-social-behaviou,Force,,-2.584727,51.458279,2279368,On or near Shopping Area,Null,Null
360861.077,176882.170299999,43,126954370,2025-03,anti-social-behaviou,Force,,-2.565107,51.489522,2280577,On or near Copley Gardens,Null,Null
359107.1108,173909.137399999,44,126955359,2025-03,anti-social-behaviou,Force,,-2.590023,51.462667,2279039,On or near Stokes Croft,Null,Null
361866.0664,174663.214400001,45,126954372,2025-03,anti-social-behaviou,Force,,-2.550392,51.469640,2281506,On or near Clay Bottom,Null,Null
363115.0123,174032.1688,46,126954373,2025-03,anti-social-behaviou,Force,,-2.532346,51.464049,2282527,On or near Thomas Pring Walk,Null,Null
359585.0972,174319.140900001,47,126954375,2025-03,anti-social-behaviou,Force,,-2.583190,51.466388,2279434,On or near West Grove,Null,Null
358527.141,169330.1866,48,126955336,2025-03,anti-social-behaviou,Force,,-2.597833,51.421455,2278517,On or near Soper Gardens,Null,Null
356888.1917,168304.195,49,126954469,2025-03,anti-social-behaviou,Force,,-2.621278,51.412107,2276949,On or near Bishops Cove,Null,Null
360914.0572,174371.124299999,50,126955330,2025-03,anti-social-behaviou,Force,,-2.564065,51.466949,2280624,On or near Church Street,Null,Null
